;YERR;PCR;GCR;ITR;XTR;MTR;YED;PCD;GCD;ITD;XTD;MTD;YFD;YIN;WIN;GON;TIN;YFN;HICP;HEX;HEG;HICPSA;HEXSA;HEGWEI;CAN_YEN;NFN_YEN;LFN;LNN;UNN;URX;LEN;STN;LTN;COMPR;POILU;PCOMU;YWD;YWDX;YWR;YWRX;LPROD;ULC;WRN;SAX;EEN;EXR
1978Q1;974425.457063954;559524.740126457;183624.059421026;228483.725307303;170771.659436704;154182.900546191;0.345801680;0.344455639;0.334053504;0.372981492;0.454394305;0.496144335;0.312863207;336957.959959047;187179.764438050;117682.109246360;32096.086274637;304861.873684410;38.879540232;NA;NA;NA;NA;NA;0.011146467;0.007879897;128769.549612190;123435.374535327;5334.175076863;0.041424196;99868.963827821;8.057085300;9.716788000;27.960190194;14.000000000;78.914761756;0.452982120;0.530591092;64.452515879;20592.818279904;7.894215582;0.192092441;1.516419140;0.275392414;1.324868828;0.808144601
1978Q2;985543.624066560;565660.202510582;185170.672899007;230945.209040179;175146.754983879;159239.247177695;0.354153956;0.351820074;0.342046982;0.379418180;0.462636410;0.499749995;0.320764654;349034.173290438;192076.096815130;124051.463115873;32906.613359435;316127.559931003;39.699258072;NA;NA;NA;NA;NA;0.007185733;0.003032980;129034.710723322;123539.527279004;5495.183444318;0.042586862;100001.437741719;7.909355931;9.575315000;27.973530135;13.893300000;79.920845409;0.462077641;0.540546840;65.726794088;20923.231384468;7.977557028;0.194893551;1.554774420;0.272203382;1.324378247;0.809348090
1978Q3;990159.361401939;569888.003421829;187450.065804684;231267.824284872;178733.179643700;164003.886577870;0.362124418;0.359862853;0.349569984;0.389462057;0.465679539;0.500469151;0.328138390;358560.882613927;198014.533561009;126894.764841018;33651.584211900;324909.298402027;40.334246668;NA;NA;NA;NA;NA;0.006628513;0.003411489;129345.862626438;123710.523970644;5635.338655795;0.043567985;100254.815779990;9.172121063;9.576661000;28.175091083;13.980000000;80.612532417;0.469162686;0.550064658;66.254834610;21051.239725111;8.003840980;0.199982489;1.600628040;0.274727071;1.349222366;0.780292114
1978Q4;1001951.243282140;576305.980034822;189213.478440853;233343.979436140;180514.456407927;169527.951886926;0.369452045;0.367118155;0.357492884;0.400624344;0.474300287;0.506361775;0.335602252;370172.935551836;203845.964168808;132411.129166077;33915.842216951;336257.093334886;40.945646981;NA;NA;NA;NA;NA;0.009609675;0.010215922;129647.948130858;123922.839675200;5725.108455658;0.044158882;100529.184668984;9.136764561;9.771184000;30.565621743;15.166700000;87.447307301;0.475916488;0.552515522;66.925901670;21302.905612005;8.085283116;0.203448986;1.644942649;0.272327831;1.308439815;0.745242923
1979Q1;1007068.741890680;580294.001502743;190842.802680113;229921.058503110;185269.881341016;170417.856008823;0.377675744;0.375418608;0.367300610;0.409689729;0.484598368;0.523171483;0.342776449;380345.436731718;210718.298849090;134481.148701555;35145.989181074;345199.447550644;41.896552659;NA;NA;NA;NA;NA;0.018875176;0.017235299;129936.095655432;124207.900391692;5728.195263740;0.044084711;100817.924370586;7.697024631;9.729662000;38.335138855;21.400000000;91.911941849;0.485604789;0.560413149;66.983877638;21336.278181473;8.107928229;0.209239241;1.696496746;0.268533128;1.286525162;0.738499889
1979Q2;1023201.763535260;591337.166750533;192523.149130020;238971.869317975;186185.685322368;177030.165490777;0.386739511;0.384747252;0.377107885;0.420713322;0.503284749;0.545132403;0.351309011;395712.549558623;216730.908185061;142729.090987169;36252.550386393;359459.999172230;42.853421375;NA;NA;NA;NA;NA;0.009651606;0.016728621;130545.498212148;124608.891943306;5936.606268842;0.045475381;101239.715705282;9.350466897;10.175860000;49.328375588;30.966700000;99.174414499;0.495307320;0.579498216;68.363939972;21802.814239521;8.211306172;0.211816394;1.739289266;0.260460816;1.295800765;0.750670533
1979Q3;1028421.419388030;589132.632568002;193882.628756101;240493.925141046;191256.574292495;180578.770731070;0.397993753;0.396598507;0.390423446;0.434340500;0.519887243;0.574018501;0.360495541;409305.300059117;225892.083102468;144849.252358919;38563.964597730;370741.335461387;43.880039446;NA;NA;NA;NA;NA;0.001431777;0.011750974;131210.328500687;125088.642509801;6121.685990886;0.046655519;101741.449544151;11.022080144;10.599570000;54.547195695;35.750000000;102.805654231;0.513094907;0.596217396;68.134162214;21839.421164528;8.221541131;0.219649337;1.805856060;0.260779046;1.279244438;0.719858782
1979Q4;1038189.598047250;595140.140525152;194859.274477171;244270.849330444;192207.453642088;183519.331817106;0.408679620;0.408738563;0.400950505;0.448232988;0.537045739;0.603631531;0.370804159;424286.930622386;233985.571378878;150979.449550763;39321.909692745;384965.020929641;44.985963125;NA;NA;NA;NA;NA;0.000376374;0.018180036;131467.471845084;125429.774748018;6037.697097066;0.045925407;102072.373698336;12.693692391;11.134740000;58.939172806;40.333300000;104.115276278;0.526335309;0.604287681;68.594305215;22071.783550467;8.277058618;0.225378459;1.865470713;0.255997290;1.228381619;0.711936650
1980Q1;1047988.213884400;600555.709528842;196617.333653213;246868.416619585;198381.105607174;188425.751898237;0.420660155;0.421589456;0.412275685;0.467931822;0.556690547;0.640613462;0.380868672;440846.884984319;242672.153508377;156473.725367776;41701.006108166;399145.878876153;46.534235086;NA;NA;NA;NA;NA;-0.006176292;0.017122471;131638.345665495;125533.750719994;6104.594945501;0.046373987;102376.127708419;12.735106889;12.090840000;58.921776562;38.916700000;109.770482308;0.538562028;0.623228954;69.305505315;22297.586799772;8.348258599;0.231560003;1.933122783;0.246580761;1.228756785;0.708656271
1980Q2;1043067.318009230;596882.698185948;198896.032665749;242723.024672609;189725.406591082;183355.975853056;0.431831448;0.433307847;0.427317701;0.482796863;0.571899640;0.669348241;0.391384294;450429.270482283;248791.742196681;159448.423741032;42189.104544570;408240.165937714;47.741793283;NA;NA;NA;NA;NA;-0.012096383;0.019484842;132102.276608377;125777.343583412;6324.933024965;0.047879061;102289.803781107;13.237090305;12.314000000;56.998098102;38.216700000;103.817636245;0.554020628;0.643780403;68.445798930;22180.562421471;8.292966669;0.238519353;1.978033047;0.251837044;1.262326540;0.718867284
